scenario~forename~surname~total~monthly~fee~prorata~orid~payref~membership~id~,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF~DavidStageNov01-1~ATTest-1~£864.00~null~£0.00~£0.00~6420000002403~3011624784~642000074~0068E000009AkR1~,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~10,ATTest~10,£943.61,null,£20.00,£54.61,1690000002521,3011949970,169028800,0068E000009BA5E,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov08~11,ATTest~11,£709.78,null,£20.00,£40.78,1690000002522,3011950051,169028801,0068E000009BA5d,
OLJPLAIN04 Offpeak  12 months WB current - One Time Payment,DavidStageNov08~12,ATTest~12,£815.01,null,£20.00,£47.01,1690000002523,3011950176,169028802,0068E000009BA5s,
OLJPLAIN06 Anytime  12 months current - DD,David,Archer,£1,028.57,£79.00,£20.00,£60.57,1690000002524,3011950311,169028803,0068E000009BA6I,
OLJPLAIN07 Anytime  12 months current - DD,David,Archer,£773.23,£59.00,£20.00,£45.23,1690000002525,3011950618,169028804,0068E000009BA7A,
OLJPLAIN08 Offpeak  12 months current - DD,David,Archer,£888.13,£68.00,£20.00,£52.13,1690000002526,3011950807,169028805,0068E000009BA7Z,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov08~13,ATTest~13,£850.08,null,£20.00,£49.08,1690000002527,3011951277,169028806,0068E000009BA88,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~14,ATTest~14,£943.61,null,£20.00,£54.61,1690000002528,3011951512,169028807,0068E000009BA8I,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov08~15,ATTest~15,£709.78,null,£20.00,£40.78,1690000002529,3011951634,169028808,0068E000009BA8X,
OLJPLAIN04 Offpeak  12 months WB current - One Time Payment,DavidStageNov08~16,ATTest~16,£815.01,null,£20.00,£47.01,1690000002530,3011951700,169028809,0068E000009BA8w,
OLJPLAIN05 Anytime  12 months current - DD,David,Archer,£926.43,£71.00,£20.00,£54.43,1690000002531,3011953336,169028810,0068E000009BAE4,
OLJPLAIN06 Anytime  12 months current - DD,David,Archer,£1,028.57,£79.00,£20.00,£60.57,1690000002532,3011953522,169028811,0068E000009BAEZ,
OLJPLAIN07 Anytime  12 months current - DD,David,Archer,£773.23,£59.00,£20.00,£45.23,1690000002533,3011953684,169028812,0068E000009BAFD,
OLJPLAIN08 Offpeak  12 months current - DD,David,Archer,£888.13,£68.00,£20.00,£52.13,1690000002534,3011953859,169028813,0068E000009BAGU,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov09~0,ATTest~0,£847.95,null,£20.00,£46.95,1690000002541,3012026060,169028815,0068E000009BHZP,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov09~1,ATTest~1,£941.23,null,£20.00,£52.23,1690000002542,3012026492,169028816,0068E000009BHZZ,
OLJPLAIN06 Anytime  12 months current - DD,David,Archer,£1,025.93,£79.00,£20.00,£57.93,1690000002545,3012034896,169028817,0068E000009BHj3,
